, Cl 8 Production US , Cl 8 Production Canada , Cl 8 Production  Mexico , Cl 8 Production  Exports , CL 8 Production  N.A. , CL 5-7 Production US , CL 5-7 Production Canada , CL 5-7 Production Mexico , CL 5-7 Production Exports , CL 5-7 Production N.A. ,,,,,,,,,,,
Assumptions,,,,,,,,,,,,,,,,,,,,,
Data Source, http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   ,,,,,,,,,,,
Feb-06," 23,070 "," 3,248 "," 1,141 "," 1,405 "," 28,864 "," 18,336 "," 1,072 "," 1,237 ", 186 ," 20,831 ",,,,,,,,,,,
Mar-06," 25,736 "," 4,144 "," 1,325 "," 1,865 "," 33,070 "," 25,196 "," 1,544 "," 1,415 ", 166 ," 28,321 ",,,,,,,,,,,
Apr-06," 22,887 "," 3,024 "," 1,403 "," 1,492 "," 28,806 "," 18,563 "," 1,151 "," 1,090 ", 161 ," 20,965 ",,,,,,,,,,,
May-06," 26,814 "," 3,492 "," 1,810 "," 2,274 "," 34,390 "," 21,773 "," 1,367 "," 1,201 ", 230 ," 24,571 ",,,,,,,,,,,
Jun-06," 21,811 "," 2,603 "," 1,741 "," 1,596 "," 27,751 "," 21,299 "," 1,010 "," 1,039 ", 290 ," 23,638 ",,,,,,,,,,,
Jul-06," 23,628 "," 2,990 "," 1,763 "," 1,943 "," 30,324 "," 18,017 ", 921 ," 1,196 ", 374 ," 20,508 ",,,,,,,,,,,
Aug-06," 28,070 "," 3,668 "," 1,560 "," 2,719 "," 36,017 "," 22,848 "," 1,095 "," 1,171 ", 273 ," 25,387 ",,,,,,,,,,,
Sep-06," 25,989 "," 3,696 "," 1,724 "," 2,008 "," 33,417 "," 21,093 "," 1,117 "," 1,196 ", 184 ," 23,590 ",,,,,,,,,,,
Oct-06," 29,083 "," 4,003 "," 1,775 "," 1,865 "," 36,726 "," 23,204 "," 1,234 "," 1,279 ", 170 ," 25,887 ",,,,,,,,,,,
Nov-06," 26,054 "," 3,504 "," 1,959 "," 1,724 "," 33,241 "," 19,895 "," 1,020 "," 1,066 ", 202 ," 22,183 ",,,,,,,,,,,
Dec-06," 19,254 "," 2,175 "," 1,447 "," 1,448 "," 24,324 "," 16,562 "," 1,150 "," 1,106 ", 302 ," 19,120 ",,,,,,,,,,,
Jan-07," 21,184 "," 2,982 "," 1,751 "," 2,805 "," 28,722 "," 17,503 ", 989 ," 1,276 ", 308 ," 20,076 ",,,,,,,,,,,
Feb-07," 16,915 "," 2,160 "," 1,711 "," 2,439 "," 23,225 "," 16,619 "," 1,024 "," 1,271 ", 302 ," 19,216 ",,,,,,,,,,,
Mar-07," 15,834 "," 2,300 "," 2,002 "," 2,345 "," 22,481 "," 18,491 "," 1,394 "," 1,530 ", 292 ," 21,707 ",,,,,,,,,,,
Apr-07," 8,456 "," 1,672 "," 2,443 "," 2,181 "," 14,752 "," 14,842 "," 1,663 "," 1,246 ", 334 ," 18,085 ",,,,,,,,,,,
May-07," 7,998 "," 1,687 "," 2,667 "," 2,741 "," 15,093 "," 16,408 "," 1,159 "," 1,311 ", 239 ," 19,117 ",,,,,,,,,,,
Jun-07," 8,775 "," 1,662 "," 2,263 "," 2,528 "," 15,228 "," 16,013 ", 957 ," 1,027 ", 262 ," 18,259 ",,,,,,,,,,,
